C.D.S.  -  SIMBAD4 rel 1.8  -  2024.10.10CEST17:08:04

m13
---

Number of objects : 1909

 #  ;dist(asec);typed ident;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;  spec. type   ;#bib;#not
----;----------;-----------;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;---------------;----;----
77  ;     13.72;m13        ;NGC 6205 620                       ;*  ;16 41 42.38 +36 27 51.1                ;     ~   ;     ~   ;13.2     ;     ~   ;     ~   ;~              ;   4;   0
78  ;     13.73;m13        ;[KWR2014] M13 55715                ;*  ;16 41 41.1592 +36 27 28.269            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
79  ;     13.90;m13        ;[KWR2014] M13 57100                ;*  ;16 41 40.7054 +36 27 32.525            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
80  ;     14.06;m13        ;Cl* NGC 6205 BARN 149              ;*  ;16 41 42.22 +36 27 52.9                ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
81  ;     14.14;m13        ;Cl* NGC 6205 CGY 6275              ;RR*;16 41 42.4953 +36 27 31.160            ;     ~   ;     ~   ;13.18    ;     ~   ;     ~   ;~              ;  10;   0
82  ;     14.16;m13        ;[KWR2014] M13 56745                ;*  ;16 41 40.8334 +36 27 30.397            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
83  ;     14.26;m13        ;NGC 6205 522                       ;*  ;16 41 40.5779 +36 27 47.160            ;     ~   ;     ~   ;13.25    ;     ~   ;     ~   ;~              ;   6;   0
84  ;     14.29;m13        ;[KWR2014] M13 99512                ;*  ;16 41 40.4571 +36 27 42.376            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
85  ;     14.34;m13        ;[SWL2011] X2                       ;X  ;16 41 42.676 +36 27 47.65              ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
86  ;     14.94;m13        ;[KWR2014] M13 55328                ;*  ;16 41 41.1964 +36 27 26.771            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
87  ;     14.95;m13        ;[KWR2014] M13 56400                ;*  ;16 41 40.9222 +36 27 28.510            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
88  ;     15.18;m13        ;[KWR2014] M13 56057                ;*  ;16 41 41.0192 +36 27 27.508            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
89  ;     15.23;m13        ;Cl* NGC 6205 CGY 5546              ;*  ;16 41 41.6208 +36 27 25.520            ;     ~   ;     ~   ;14.73    ;     ~   ;     ~   ;~              ;   2;   0
90  ;     15.24;m13        ;[KWR2014] M13 56738                ;*  ;16 41 40.7951 +36 27 29.361            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
